id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1177792416738349056,Sat Sep 28 03:49:29 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @vectornator: Giveaway Alert!
Vectornator is coming to MacOS Catalina and we are giving away a brand new MacBook Pro 15!
Enter the givea…",Giveaway Alert Vectornator coming MacOS Catalina giving away brand new MacBook Pro Enter givea…,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.13636363636363635,0.45454545454545453,en,0,441,ljveloz,,,vectornator,Cancun Mx,
1177792403589099521,Sat Sep 28 03:49:25 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @_ChosenOne_27: @QweenOfHells Millennails are saving money to buy the #iPhone11,Millennails saving money buy,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,1,QweenOfHells,,iPhone11,"_ChosenOne_27, QweenOfHells",Online,
1177792189096550400,Sat Sep 28 03:48:34 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@QweenOfHells Millennails are saving money to buy the #iPhone11,Millennails saving money buy,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,1,_ChosenOne_27,,iPhone11,QweenOfHells,Saamne Wali Khidki mein🎪 ,
1177791969528971264,Sat Sep 28 03:47:42 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@ishanagarwal24 @BenGeskin Midnight Green Is My Favourite Colour..#iPhone11 #iPhone11Pro  #Iphone11promax https://t.co/qYXOhRPoWI,Midnight Green Is My Favourite Colour..,"Sentiment(polarity=-0.2, subjectivity=0.3)",-0.2,0.3,en,0,0,Pmvaishnav1996,False,"iPhone11, iPhone11Pro, Iphone11promax","ishanagarwal24, BenGeskin","Navi Mumbai, India",
1177791908703162368,Sat Sep 28 03:47:28 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Help me win a MacBook Pro from @Vectornator! 
enter the giveaway for a chance to win one too from #Vectornator.… https://t.co/D0BozqLPIn",Help win MacBook Pro enter giveaway chance win one .…,"Sentiment(polarity=0.8, subjectivity=0.4)",0.8,0.4,en,0,0,RussKathleen,False,Vectornator,vectornator,,
1177791768642736128,Sat Sep 28 03:46:54 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @vectornator: Giveaway Alert!
Vectornator is coming to MacOS Catalina and we are giving away a brand new MacBook Pro 15!
Enter the givea…",Giveaway Alert Vectornator coming MacOS Catalina giving away brand new MacBook Pro Enter givea…,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.13636363636363635,0.45454545454545453,en,0,441,RussKathleen,,,vectornator,,
1177791604502884353,Sat Sep 28 03:46:15 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",My thirst ass really gatta wait till October for my new iPhone #iPhone11 https://t.co/B3X9ZcZcYq,My thirst ass really gatta wait till October new iPhone,"Sentiment(polarity=0.16818181818181818, subjectivity=0.32727272727272727)",0.16818181818181818,0.32727272727272727,en,0,0,kiing_ave,False,iPhone11,,,
1177791164981940224,Sat Sep 28 03:44:30 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",I see no lie #iPhone11 @FamilyGuyonFOX https://t.co/r3umgJMwCn,I see lie,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,3,0,BoarIsWar,False,iPhone11,FamilyGuyonFOX,,
1177791057599201280,Sat Sep 28 03:44:05 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @vectornator: Giveaway Alert!
Vectornator is coming to MacOS Catalina and we are giving away a brand new MacBook Pro 15!
Enter the givea…",Giveaway Alert Vectornator coming MacOS Catalina giving away brand new MacBook Pro Enter givea…,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.13636363636363635,0.45454545454545453,en,0,441,Le2jUuIlhBDio3G,,,vectornator,,
1177790725641125894,Sat Sep 28 03:42:45 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here’s a debate🤔 for iPhone users #iPhone #iphone11 #ios13,Here ’ debate🤔 iPhone users,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,_batesboys,,"iPhone, iphone11, ios13",,"Nova Scotia, Canada","[[-64.237659, 43.366298], [-59.385802, 43.366298], [-59.385802, 45.27617], [-64.237659, 45.27617]]"
